Page,Date,Title,Link
https://www.unair.ac.id/unair-news-infografik/page/3/,01/03/2022,Infografik: Kelangkaan Minyak Goreng,https://www.unair.ac.id/infografik-kelangkaan-minyak-goreng/
https://www.unair.ac.id/unair-news-infografik/page/3/,24/02/2022,Infografik: Inovasi Pupuk dari Limbah Udang,https://www.unair.ac.id/infografik-inovasi-pupuk-dari-limbah-udang/
https://www.unair.ac.id/unair-news-infografik/page/3/,04/02/2022,Infografik: Logam Tanah Jarang,https://www.unair.ac.id/infografik-logam-tanah-jarang/
https://www.unair.ac.id/unair-news-infografik/page/3/,28/01/2022,Infografik: Cara Tingkatkan Imunitas Hadapi Varian Omicron,https://www.unair.ac.id/infografik-cara-tingkatkan-imunitas-hadapi-varian-omicron/
https://www.unair.ac.id/unair-news-infografik/page/3/,28/01/2022,Infografik: Peran Penting Sebuah Kota,https://www.unair.ac.id/infografik-peran-penting-sebuah-kota/
https://www.unair.ac.id/unair-news-infografik/page/3/,10/01/2022,Infografik: Batas Wajar Adopsi Boneka Arwah,https://www.unair.ac.id/infografik-batas-wajar-adopsi-boneka-arwah/
https://www.unair.ac.id/unair-news-infografik/page/3/,15/12/2021,Infografik: UNAIR Kukuhkan Guru Besar Periode 15 Desember 2021,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-15-desember-2021/
https://www.unair.ac.id/unair-news-infografik/page/3/,10/12/2021,Infografik: UNAIR Kukuhkan Guru Besar Periode 8 Desember 2021,https://www.unair.ac.id/infografik-unair-kukuhkan-guru-besar-periode-8-desember-2021/
https://www.unair.ac.id/unair-news-infografik/page/3/,10/12/2021,"Infografik: Guru Besar Prof. Nurul Barizah, S.H., LLM., PhD",https://www.unair.ac.id/infografik-guru-besar-prof-nurul-barizah-s-h-llm-phd/
https://www.unair.ac.id/unair-news-infografik/page/3/,09/12/2021,Infografik: UNAIR Anugerahi Ignasius Jonan Honoris Causa,https://www.unair.ac.id/infografik-unair-anugerahi-ignasius-jonan-honoris-causa/
https://www.unair.ac.id/unair-news-infografik/page/3/,08/12/2021,"Infografik: Guru Besar Prof. Dr. dr. Yudi Her Oktaviono, Sp.jP(K)",https://www.unair.ac.id/infografik-guru-besar-prof-dr-dr-yudi-her-oktaviono-sp-jpk/
https://www.unair.ac.id/unair-news-infografik/page/3/,07/12/2021,"Infografik: Guru Besar Prof. Dr. Retno Sari, M.Sc., Apt",https://www.unair.ac.id/infografik-guru-besar-prof-dr-retno-sari-m-sc-apt/
https://www.unair.ac.id/unair-news-infografik/page/3/,07/12/2021,Infografik: Tips Tetap Sehat di Musim,https://www.unair.ac.id/infografik-tips-tetap-sehat-di-musim/
https://www.unair.ac.id/unair-news-infografik/page/3/,30/09/2021,Infografik: Wisudawan Berprestasi Periode September 2021,https://www.unair.ac.id/infografik-wisudawan-berprestasi-periode-september-2021/
https://www.unair.ac.id/unair-news-infografik/page/4/,28/09/2021,Infografik: Wisudawan Terbaik September 2021 UNAIR,https://www.unair.ac.id/infografik-wisudawan-terbaik-september-2021-unair/
https://www.unair.ac.id/unair-news-infografik/page/4/,09/09/2021,Infografik: Financial Goal dengan Planning Tepat,https://www.unair.ac.id/infografik-financial-goal-dengan-planning-tepat/
https://www.unair.ac.id/unair-news-infografik/page/4/,08/09/2021,"Infografik: Dr. Agung Sosiawan, drg., M.Kes.",https://www.unair.ac.id/infografik-dr-agung-sosiawan-drg-m-kes/
https://www.unair.ac.id/unair-news-infografik/page/4/,06/09/2021,Infografik: UNAIR Masuk Grup Rangking 4 THE,https://www.unair.ac.id/infografik-unair-masuk-grup-rangking-4-the/
https://www.unair.ac.id/unair-news-infografik/page/4/,06/09/2021,"Infografik: “Kampus Kita”, Aplikasi UNAIR untuk Civitas",https://www.unair.ac.id/infografik-kampus-kita-aplikasi-unair-untuk-civitas/
https://www.unair.ac.id/unair-news-infografik/page/4/,03/09/2021,Infografik: Tips Proporsi Keuangan Usia Produktif,https://www.unair.ac.id/infografik-tips-proporsi-keuangan-usia-produktif/
https://www.unair.ac.id/unair-news-infografik/page/4/,03/09/2021,Infografik: Inovasi Hand Sanitizer Lendir Bekicot,https://www.unair.ac.id/infografik-inovasi-hand-sanitizer-lendir-bekicot/
https://www.unair.ac.id/unair-news-infografik/page/4/,02/09/2021,Infografik: 4 Ciri Pembelajar Menurut Rektor UNAIR,https://www.unair.ac.id/infografik-4-ciri-pembelajar-menurut-rektor-unair/
https://www.unair.ac.id/unair-news-infografik/page/4/,01/09/2021,Infografik: Tips Jaga Kesehatan Gigi Anak Difabel,https://www.unair.ac.id/infografik-tips-jaga-kesehatan-gigi-anak-difabel/
https://www.unair.ac.id/unair-news-infografik/page/4/,31/08/2021,Infografik: 15 Produk Inovasi Covid-19 UNAIR,https://www.unair.ac.id/14-produk/
https://www.unair.ac.id/unair-news-infografik/page/4/,30/08/2021,Infografik: Kenali Stres pada Remaja,https://www.unair.ac.id/kenali-stres/
https://www.unair.ac.id/unair-news-infografik/page/4/,27/08/2021,Infografik: Akomodasi Keringanan UKT Mahasiswa,https://www.unair.ac.id/infografik-akomodasi-keringanan-ukt-mahasiswa/
https://www.unair.ac.id/unair-news-infografik/page/4/,26/08/2021,Infografik: 4 Medali dari KN MIPA 2021,https://www.unair.ac.id/infografik-4-medali-dari-kn-mipa-2021/
https://www.unair.ac.id/unair-news-infografik/page/4/,20/08/2021,Infografik: Jeli untuk Sembuhkan Diare Anak,https://www.unair.ac.id/infografik-jeli-untuk-sembuhkan-diare-anak/
https://www.unair.ac.id/unair-news-infografik/page/4/,18/08/2021,"Infografik: Prof. Junaidi Khotib, S.Si, Apt., M.Kes., Ph.D",https://www.unair.ac.id/infografik-prof-junaidi-khotib-s-si-apt-m-kes-ph-d/
https://www.unair.ac.id/unair-news-infografik/page/5/,16/08/2021,Infografik:  Santet: Hand Sanitizer Sachet,https://www.unair.ac.id/infografik-santet-hand-sanitizer-sachet/
https://www.unair.ac.id/unair-news-infografik/page/5/,12/08/2021,"Infografik: Normal.in, Aplikasi Penanganan Covid-19",https://www.unair.ac.id/infografik-normal-in-aplikasi-penanganan-covid-19/
https://www.unair.ac.id/unair-news-infografik/page/5/,11/08/2021,"Infografik: Dr. Santi Martini, MD., M.Kes.",https://www.unair.ac.id/infografik-dr-santi-martini-md-m-kes/
https://www.unair.ac.id/unair-news-infografik/page/5/,10/08/2021,Infografik: Ragam Penyakit pada Ikan Koi,https://www.unair.ac.id/infografik-ragam-penyakit-pada-ikan-koi/
https://www.unair.ac.id/unair-news-infografik/page/5/,09/08/2021,Infografik: Skin Care dari Daun Telang,https://www.unair.ac.id/infografik-skin-care-dari-daun-telang/
https://www.unair.ac.id/unair-news-infografik/page/5/,06/08/2021,Infografik: Tips Isolasi Mandiri untuk Anak-Anak,https://www.unair.ac.id/infografik-tips-isolasi-mandiri-untuk-anak-anak/
https://www.unair.ac.id/unair-news-infografik/page/5/,04/08/2021,"Infografik:  Prof. Mochammad Amin Alamsjah, Ir., M.Si., Ph.D.",https://www.unair.ac.id/infografik-prof-mochammad-amin-alamsjah-ir-m-si-ph-d/
https://www.unair.ac.id/unair-news-infografik/page/5/,03/08/2021,Infografik: Fakta Isu Makanan & Minuman Pencegah Covid-19,https://www.unair.ac.id/infografik-fakta-isumakanan-minuman-pencegah-covid-19/
https://www.unair.ac.id/unair-news-infografik/page/5/,30/07/2021,Infografik: Berikut Tips Atasi Insecure,https://www.unair.ac.id/infografik-berikut-tips-atasi-insecure/
https://www.unair.ac.id/unair-news-infografik/page/5/,29/07/2021,Infografik: Tanam Mangrove di Pulau Bawean,https://www.unair.ac.id/infografik-tanam-mangrove-di-pulau-bawean/
https://www.unair.ac.id/unair-news-infografik/page/5/,28/07/2021,"Infografik: Prof. Dr. Budi Santoso, dr., Sp.OG (K)",https://www.unair.ac.id/infografik-prof-dr-budi-santoso-dr-sp-og-k/
https://www.unair.ac.id/unair-news-infografik/page/5/,27/07/2021,Infografik: Masker Antibakteri dari Limbah Udang,https://www.unair.ac.id/infografik-masker-antibakteri-dari-limbah-udang/
https://www.unair.ac.id/unair-news-infografik/page/5/,26/07/2021,Infografik: Vaksinasi Civitas Akademika UNAIR,https://www.unair.ac.id/infografik-vaksinasi-civitas-akademika-unair/
https://www.unair.ac.id/unair-news-infografik/page/5/,26/07/2021,Infografik: Tips Isolasi di Rumah oleh Gubes Kedokteran,https://www.unair.ac.id/infografik-tips-isolasi-di-rumah-oleh-gubes-kedokteran/
https://www.unair.ac.id/unair-news-infografik/page/5/,23/07/2021,Infografik: Tips Kelola Masker Bekas dari Dokter Mikrobiologi,https://www.unair.ac.id/infografik-tips-kelola-masker-bekas-dari-pakar-mikrobiologi/
