Date,Title,Link
25/09/2022,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR,https://www.unair.ac.id/khofifah-resmi-mulai-semarak-peringatan-hut-emas-ika-unair/
20/09/2022,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet,https://www.unair.ac.id/alumni-unair-siap-luncurkan-aplikasi-untuk-petani-walet/
27/09/2022,Manfaat Asam Folat Untuk Meningkatkan Produktivitas Dan Kesehatan Unggas,https://www.unair.ac.id/manfaat-asam-folat-untuk-meningkatkan-produktivitas-dan-kesehatan-unggas/
19/10/2022,"Bangun SDM Masyarakat Timor Leste, Sekolah Pascasarjana UNAIR Ikuti Program Indonesia Education Fair 2022",https://www.unair.ac.id/bangun-sdm-masyarakat-timor-leste-sekolah-pascasarjana-unair-gelar-program-indonesia-education-fair-2022/
27/09/2022,Strategi Pengembangan Anti Depresan dengan Target Mikroglia,https://www.unair.ac.id/strategi-pengembangan-anti-depresan-dengan-target-mikroglia/
13/10/2022,Defek Ventilasi Restriksi pada Tuberkulosis Paru,https://www.unair.ac.id/defek-ventilasi-restriksi-pada-tuberkulosis-paru/
17/10/2022,"G20, Hegemoni, dan Spirit Tak Berpuas Diri",https://www.unair.ac.id/g20-hegemoni-dan-spirit-tak-berpuas-diri/
01/10/2022,Aktivitas Campuran Mikroalga Polisakarida Asal Indonesia Sebagai Anti Malaria In Vitro,https://www.unair.ac.id/aktivitas-campuran-mikroalga-polisakarida-asal-indonesia-sebagai-anti-malaria-in-vitro/
27/09/2022,MYMA FH UNAIR Beri Tips dan Trik Jadi Mahasiswa Hukum Berprestasi,https://www.unair.ac.id/myma-fh-unair-beri-tips-dan-trik-jadi-mahasiswa-hukum-berprestasi/
14/10/2022,Semarak Pendekar 2022 Dorong Prestasi dan Inovasi Maba FST UNAIR,https://www.unair.ac.id/semarak-pendekar-2022-dorong-prestasi-dan-inovasi-maba-fst-unair/
25/10/2022,Waspadai Gangguan Ginjal Akut pada Anak,https://www.unair.ac.id/waspadai-gangguan-ginjal-akut-pada-anak/
30/09/2022,Satgas PPKS UNAIR Ikuti Bimtek Penanganan Kekerasan Seksual Kemdikbud-Ristek RI,https://www.unair.ac.id/satgas-ppks-unair-ikuti-bimtek-penanganan-kekerasan-seksual-kemdikbud-ristek-ri/
21/10/2022,Efektifitas Tetes Mata Natrium Hyaluronate untuk Mengatasi Mata Kering karena Computer Vision Syndrome pada Mahasiswa,https://www.unair.ac.id/efektifitas-tetes-mata-natrium-hyaluronate-untuk-mengatasi-mata-kering-karena-computer-vision-syndrome-pada-mahasiswa/
27/09/2022,Efektivitas Anti Bakteri Obat Saluran Akar Kalsium Hidroksida-Iodofor dan Kalsium Hidroksida-Barium Sulfida,https://www.unair.ac.id/efektivitas-anti-bakteri-obat-saluran-akar-kalsium-hidroksida-iodofor-dan-kalsium-hidroksida-barium-sulfida/
